original_title,popularity,vote_average,vote_count,Comedy,TV Movie,Family,Science Fiction,Drama,Romance,Action,War,Mystery,Music,Adventure,Crime,Horror,Animation,History,Fantasy,Western,Thriller,Running time,Budget,Box Office,Actors Box Office %,Director Box Office %,Earnings,Oscar and Golden Globes nominations,Oscar and Golden Globes awards,IMDb score,ROI,successo
The Iron Giant,42.129,7.943,5368,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,90,70000000,31700000,0.5,0.6,-38300000,1,0,8.0,-0.5471428571428572,0
Braveheart,69.423,7.939,9808,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,178,72000000,213000000,1.0,1.0,141000000,10,5,8.4,1.9583333333333333,1
No Country for Old Men,65.269,7.938,11574,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,122,25000000,170000000,0.8095,0.7142000000000001,145000000,8,4,8.1,5.8,1
Aliens,151.952,7.9,9253,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,154,18500000,184000000,0.6667000000000001,0.8571,165500000,7,5,8.4,8.945945945945946,1
Raging Bull,66.426,7.937,4159,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,121,18000000,23500000,0.4,0.44439999999999996,5500000,10,3,8.3,0.3055555555555556,0
Blade Runner,137.801,7.936,13374,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,117,28000000,41000000,0.3333,0.3529,13000000,3,0,8.2,0.4642857142857143,0
Dallas Buyers Club,20.359,7.93,8282,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,117,5000000,55100000,0.61,0.6667000000000001,50100000,11,6,8.0,10.02,1
On the Waterfront,16.827,7.931,1503,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,108,910000,9600000,0.55,1.0,8690000,16,9,8.2,9.54945054945055,1
Me Before You,109.267,7.926,12005,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,110,20000000,208000000,1.0,1.0,188000000,0,0,7.6,9.4,1
Raiders of the Lost Ark,79.172,7.926,12054,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,115,18000000,768000000,1.0,0.846,750000000,13,12,8.5,41.666666666666664,1
Rebecca,26.433,7.919,1684,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,130,1288000,8000000,0.6667000000000001,0.3333,6712000,1,0,8.2,5.211180124223603,1
About Time,71.307,7.918,8188,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,123,12000000,87000000,1.0,1.0,75000000,0,0,7.8,6.25,1
Unforgiven,62.069,7.917,4231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,131,14400000,160000000,0.9333,0.75,145600000,10,4,8.3,10.11111111111111,1
Inside Out,262.609,7.914,20371,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,95,175000000,858000000,0.8332999999999999,1.0,683000000,2,1,8.3,3.902857142857143,1
Freedom Writers,42.26,7.913,2127,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,123,21000000,41000000,0.19440000000000002,0.25,20000000,1,0,7.5,0.9523809523809523,1
Mulan,102.422,7.912,9319,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,88,90000000,304000000,0.3333,1.0,214000000,3,1,7.5,2.3777777777777778,1
Guardians of the Galaxy,62.379,7.908,27456,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,121,170000000,773000000,0.6388,0.3333,603000000,2,0,8.1,3.5470588235294116,1
Titanic,151.315,7.905,24672,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,194,200000000,2200000000,0.5,0.8571,2000000000,14,11,7.7,10.0,1
The Pursuit of Happyness,40.084,7.902,9579,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,117,55000000,307000000,0.5,0.5,252000000,2,0,8.0,4.581818181818182,1
V for Vendetta,44.166,7.9,14095,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,132,54000000,132000000,0.8332999999999999,0.3333,78000000,0,0,8.2,1.4444444444444444,1
Gone Girl,125.647,7.892,18125,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,149,61000000,369000000,0.5,0.8,308000000,1,0,8.1,5.049180327868853,1
The Notebook,96.987,7.888,11132,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,123,29000000,116000000,0.6825,1.0,87000000,0,0,7.9,3.0,1
Mr. Smith Goes to Washington,14.635,7.887,997,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,120,1500000,2500000,0.5,0.6,1000000,11,1,8.2,0.6666666666666666,0
